Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Donald J. Trump,en,R,President Trump is coming to town! Get your free tickets now >>>,President Trump is coming to town!,3.7308,4.3051,-0.5743000000000005,0.5743000000000005
Trump for Wisconsin,en,R,Joe Biden SOLD America OUT to make his family RICH!,Joe Biden SOLD America OUT to make his family,4.3914,3.4411,0.9502999999999999,-0.9502999999999999
Trump for Wisconsin,en,R,WE NEED TO DEFEND AMERICA!,WE NEED TO DEFEND AMERICA!,4.4826,4.4826,0.0,0.0
Trump for Wisconsin,en,R,"Biden led China through the process of receiving MOST-FAVORED-NATION status. His trade deals would send hard-working American jobs to CHINA.\nJoe Biden will stand up for China, but he won't stand up for US! With Joe Biden, China is in charge.",en to es en to es Biden led China through the process,3.2202,4.0931,-0.8728999999999996,0.8728999999999996
Donald J. Trump,en,R,AMERICA IS THE GREATEST COUNTRY IN THE WORLD!,AMERICA IS THE GREATEST COUNTRY IN THE,4.93,4.7282,0.20179999999999954,-0.20179999999999954
Donald J. Trump,en,R,WHAT ELSE ARE BIDEN AND KAMALA HIDING FROM US?,Was sind die ELSE BIDEN AND KAMA,2.1952,3.2235,-1.0283000000000002,1.0283000000000002
Donald J. Trump,en,R,CHOOSE FREEDOM OVER OPPRESSION!\n\nPresident Trump is fighting the forces of ANARCHY and COMMUNISM. Joe Biden and D.C. Swamp will hand over the country to those dangerous forces.,CHOOSE FREEDOM OVER OPPRESSION,3.1591,3.3091,-0.1499999999999999,0.1499999999999999
Donald J. Trump,en,R,THERE'S NO MIDDLE GROUND!\n\nWe need to defend America.,THERE'S NO MIDDLE GROUND,2.2718,2.4611,-0.18930000000000025,0.18930000000000025
Donald J. Trump,en,R,Joe Biden is a career politician who spent decades RAISING taxes.\n\nTHE REAL BIDEN PLAN:\n🚨 A 14% tax hike on middle class families\n🚨 Give illegal immigrants amnesty and healthcare.\n\nWhat would the Biden Plan do for you? Raise your taxes.,Joe Biden este un politician de carieră care,2.5922,3.7865,-1.1943000000000001,1.1943000000000001
Trump for Wisconsin,en,R,"PRESIDENT TRUMP HAS LAUNCHED OPERATION WARPSPEED.\n\nIt is a HISTORIC effort to bring vaccines, therapeutics, and diagnostics to the American people in RECORD TIME. \n\nAmerica is making a comeback.",PRESIDENT TRUMP HAS LAUNCHED O,3.7964,3.2747,0.5217,-0.5217
Donald J. Trump,en,R,WHY WON'T JOE ANSWER THE QUESTION?\n\nJoe Biden does not believe voters deserve to know whether or not he will pack the Supreme Court. \n\nHe's too afraid to tell voters the truth. We need you to vote to protect the Supreme Court.,WHY WON'T JOE ANSWER,1.8179,2.3545,-0.5365999999999997,0.5365999999999997
Trump for Wisconsin,en,R,JOE BIDEN'S PLAN: Raise taxes on 4 out of 5 Americans.,JOE BIDEN'S PLAN: Raise,2.9286,3.6113,-0.6827000000000001,0.6827000000000001
Donald J. Trump,en,R,Joe Biden OPENLY admitted his plan to violate our Second Amendment Rights.\n\nBiden and Harris would enact UNCONSTITUTIONAL gun control measures while ANTIFA terrorizes our cities and the Radical Left calls to DEFUND the Police. \n\nThey would make it harder than ever to defend yourself.,Joe Biden a recunoscut opportunitate,2.2016,3.4491,-1.2475,1.2475
Donald J. Trump,en,R,JOE BIDEN CODDLES CHINA!\n\nHe won't stand up to China. He never has and he never will.,JOE BIDEN CODDLES CHINA!,1.4095,3.5359,-2.1264,2.1264
Donald J. Trump,en,R,WE MUST DRAIN THE SWAMP!,en es: WE MUST DRAIN THE SWAMP!,4.4165,3.9517,0.4647999999999999,-0.4647999999999999
Gavin Newsom,en,R,"In California, every registered voter automatically receives a ballot in the mail. It’s something that makes voting accessible, safe, and easy — but it isn’t available nationwide. Sign our petition calling for national vote-by-mail today:","en to es, in California, every registered voter receives automatically a ballot",2.6712,2.8884,-0.21720000000000006,0.21720000000000006
Gavin Newsom,en,R,"The easiest, most secure way to ensure your ballot is counted is to vote early. That’s why every registered voter in California automatically receives a ballot in the mail. I’m calling for California’s vote-by-mail system to be implemented nationwide in order to ensure every voter can cast their ballot safely, easily, and securely. If you’re with me, sign our petition:","Die einfachste, sicherste Möglichkeit, sicherzustellen, dass",4.4756,4.6875,-0.21189999999999998,0.21189999999999998
Gavin Newsom,en,R,We are in the midst of a climate CRISIS. We can’t wait to take action while wildfires and natural disasters ravage California and other parts of the country. Join Gavin Newsom in pledging to take action to stop climate change by signing our petition:,Wir befinden uns inmitten eines Klima-CRISIS,3.9999,3.8393,0.16059999999999963,-0.16059999999999963
Gavin Newsom,en,R,"Climate change is real. If you agree with me and are ready to take action, sign our petition today:","Wenn Sie mit mir einverstanden sind und bereit sind, zu handeln, signieren",3.7859,3.5453,0.2405999999999997,-0.2405999999999997
Gavin Newsom,en,R,Climate change is real. The unprecedented wildfires currently raging in California are undeniable proof. We must show the nation just how urgent this crisis is. Sign my petition if you believe that climate change is real. We can’t afford to wait another moment.,en to es en to es en to es,2.4614,3.1241,-0.6627000000000001,0.6627000000000001
Gavin Newsom,en,R,Thousands of Californians have been displaced by raging wildfires caused by unprecedented heat waves and lightning strikes. Climate change is wreaking havoc on our state — and we cannot afford to wait for climate deniers to change their minds before we act. Will you sign my petition affirming that climate change is real?,De la sen la es: Mii de Californiani au fost stră,1.594,2.0879,-0.4938999999999998,0.4938999999999998
Major Williams for Governor,en,R,"California deserves better. Our campaign isn't limited to any group, party, or religion.\n\nOur campaign is representative of all Californians. \n\nIt's time to think Major about California's future. \n\nHelp us win. Can we count on a minimum $25 contribution today? \n\nClick here: https://secure.anedot.com/major-williams-for-governor/donate\n\nLearn more: www.majorforgovernor.com",en to es California merite mai bine. nnOur campaign,2.3158,3.5499,-1.2341000000000002,1.2341000000000002
Major Williams for Governor,en,R,"Our mission is simple, it is to work hard, continue to growing together.\n\nMy name is Major Williams and I need your help. I am running for Governor against Gavin Newsom.\n\nOur campaign needs to spread awareness to 40 million people.\n\nCan I count on you pitching in with $10, $20, $50 or $100?\n\nClick here \nhttps://donate.fundhero.io/majorforgovenor2022\n\nGet your merchandise \nhttps://majorwilliamsmerch.com/","en to es - misiunea noastră este simplă, este să munci",3.8222,3.754,0.06820000000000004,-0.06820000000000004
Major Williams for Governor,en,R,"My message to all Californians is if you\'re truly frustrated about our current leadership or lack thereof by Gavin Newsom, let\'s do something about it.\n\nSupport our campaign as we travel up and down the California coast to meet everyone.\n\nDonate today.\n\nCan I count on you to contribute $20, $50, or $100 today?\n\nhttps://donate.fundhero.io/majorforgovenor2022",es: Mesajul meu pentru toţi californienii este că,2.3145,2.9964,-0.6819000000000002,0.6819000000000002
Gavin Newsom,en,R,I just addressed the nation at the Democratic National Convention from an evacuation center in Santa Cruz. Thousands of Californians have been displaced by raging wildfires caused by unprecedented heat waves and lightning strikes. Climate change is wreaking havoc on our state — and we cannot afford to wait for climate deniers to change their minds before we act. Will you sign my petition affirming that climate change is real?,en to es to es — ich wende mich gerade an,1.9463,3.4186,-1.4723000000000002,1.4723000000000002
Gavin Newsom,en,R,I just gave my DNC address from a Santa Cruz evacuation center and highlighted the disastrous climate change-fueled wildfires raging through California. We need action now. Lives depend on it. Add your name to my petition if you believe climate change is real:,Ich habe gerade meine DNC-Adresse von einem Santa Cruz,2.701,2.305,0.3959999999999999,-0.3959999999999999
Gavin Newsom,en,R,Climate change is real. The unprecedented wildfires currently raging in California are undeniable proof. I gave my Democratic National Convention address from a Santa Cruz evacuation center to show the nation just how urgent this crisis is. Sign my petition if you believe that climate change is real. We can’t afford to wait another moment.,en to es en to es en to es,1.8953,3.1241,-1.2288,1.2288
Major Williams for Governor,en,R,"Hey, California it is time for a fresh new era of political candidates and politicians. Our momentum is making a historic mark in our state. Let\'s not get distracted by other names, our focus is restoring California. Our campaign has been flooded with first-time voters, Democrats sick of Newsom and young people. Let\'s stop getting behind the same old characters of our Republican party (no disrespect intended) we need to select someone who can actually WIN! It\'s time to think Major about California\'s future, it\'s time to vote Major! #ItsTimeToThinkMajor","en to es, en to es, en to e",4.2368,2.9917,1.2450999999999999,-1.2450999999999999
Brian Domingo,en,R,It's Official!! Well it's been official for a while but the state finally updated their website. Like and Share Our Page and follow us on our road to 2022!\n#VoteDomingo,It's Official!!,4.277,4.3144,-0.03739999999999988,0.03739999999999988
Major Williams for Governor,en,R,"Hello everyone. We have lots of work to do. It is imperative that we cover all of California to get our message out and connecting with voters. Defeating Gavin Newsom will not be cheap nor will it be easy. So, I will be asking everyone to pitch in whatever they can so we can build a war chest and stay active connecting with you all. Can you make a donation today? Help us reach our monthly goal. Select a reoccurring contribution if you want to become an Ambassador. The donation link is on our website. Thank you! #ItsTimeToThinkMajor about California's future.",to es. We have lots of work to do. It is imperative that,4.3468,3.6841,0.6627000000000001,-0.6627000000000001
Major Williams for Governor,en,R,"Let's be honest. Leadership is destroying California. \n\nDo you want another four years of policy from Gavin Newsom? \n\nI am running for Governor of California in 2022.\n\nI need your support!\n\nJoin our fight, our goal is 5k monthly Ambassadors who chip in a minimum of $20 per month. Or a one-time donation.  \n\nCan I count on you?\n\nTogether we will win!\nwww.newcagov.com","en to es to es, let's be honest. Leadership is",1.7494,3.9424,-2.193,2.193
Major Williams of Pasadena,en,R,"Greetings,\n\nAs you know, I have decided to run for California Governor in 2022. \nWhile we work around the clock developing the website and planning the launch, I wanted to share my political philosophy. \nFirst, I'd like to express I am not interested in befriending pharmaceutical companies and will stand by my anti-vaccine stance. I believe in school choice, our constitution, our right to bear arms, and I am against taxing our citizens into oblivion under our state's current leadership. In my first 100 days, I will draft an executive order repealing AB50, SB276, and AB3030. \nI am not a career politician; I lead with a dual perspective to usher in the change necessary to make our state golden once more. \nAs we work in developing our platform based upon the needs of our citizens, we as that you continue to support, engage, and spread the word. It is overdue for a new brand of leadership. \nI look forward to meeting you all, please stay safe, be well, and God bless you. -Major Williams | Donate today! Link in bio.","es: Greetings,nnAs you know, I",3.3762,2.9174,0.45879999999999965,-0.45879999999999965
Major Williams for Governor,en,R,Major Williams for Governor of California.\n\nIt is time to unseat Gavin Newsom.\n\nReal leadership is required. \nYour one-time contribution or $8.50 per month will allow our efforts to launch an aggressive statewide awareness campaign. \nWe must start now!\n\nClick here now: www.newcaliforniagovernor.com\n\nEveryone go and Tag: 3 people,en to es en to es en to es,2.711,3.1241,-0.4131,0.4131
Major Williams for Governor,en,R,Governor Gavin Do As I Say & Wear A Mask Newsom can\'t represent our Californian interest. \n\nWho agrees with me?\n\nI will be running for Governor of California in 2022. \n\nTo defeat Nancy\'s nephew we have to raise funds and spread awareness of his fragile leadership all over our state.\n\nWill you join the fight for our state patriots? \n\nDonate Now | Click here www.paypal.me/majorwms  \n\nLearn more: www.newcaliforniagovernor.com,en to es Governor Gavin Do As I Say & Wear A Mask New,1.9042,4.3179,-2.4137,2.4137
Major Williams for Governor,en,R,Mr. Governor Gavin Do As I Say & Wear A Mask Newsom can\'t represent our Californian interest. \n\nWho agrees with me?\n\nI will be running for Governor of California in 2022. \n\nTo defeat Nancy\'s nephew is to raise funds so we can spread awareness of his fragile leadership all over our state.\n\nWill you join the fight for our state patriots? \n\nDonate Now | Click here www.paypal.me/majorwms  \n\nLearn more: www.newcaliforniagovernor.com,es: d-n-n-n-n-n-n,1.9395,2.7781,-0.8385999999999998,0.8385999999999998
Major Williams of Pasadena,en,R,Mr. Governor Gavin Do As I Say & Wear A Mask Newsom should no longer represent our California interests. \n\nWho agrees with me?\n\nI will be running for Governor of California in 2022. \n\nTo defeat Nany\'s nephew is to raise funds so we can spread awareness of his fragile leadership all over our state.\n\nWill you join the fight for our state patriots? \n\nDonate Now | Click here www.paypal.me/majorwms  \n\nLearn more: www.newcaliforniagovernor.com,dl. Governor Gavin Do As I Say,1.8994,3.8959,-1.9965000000000002,1.9965000000000002
Major Williams for Governor,en,R,Major Williams for Governor of California.\n\nIt is time to unseat Gavin Newsom.\n\nReal leadership is required. \nYour one-time contribution or $8.50 per month will allow our efforts to launch an aggressive statewide awareness campaign. \nWe must start now!\n\nClick here now: www.newcaliforniagovernor.com\n\nEveryone go and Tag: @iamjamiefoxx I see he activated.,en to es en to es en to es,2.6813,3.1241,-0.4428000000000001,0.4428000000000001
Senator Andreas Borgeas,en,R,"We must protect businesses and their employees, complying with state and local guidelines, from COVID-19 lawsuits so they can reopen without the cloud of litigation looming overhead. Small businesses are the bedrock of California’s economy and our communities.\n\nProud to join my colleagues Senator Anna Caballero, Senator Cathleen Galgiani, Senator Shannon Grove, Senator Melissa Hurtado, Senator Jim Nielsen, Assemblyman Frank Bigelow, Assemblyman Heath Flora, Assemblyman Vince Fong, Assemblyman James Gallagher, Assemblyman Jim Patterson, Assemblyman Devon Mathis and Assemblymember Rudy Salas in this bipartisan request to Governor Gavin Newsom.",en to es en to es en to es,4.2762,3.1241,1.1521000000000003,-1.1521000000000003
Mayor Austin Lumbard,en,R,"This is my good friend, Mayor Will O’Neill.  His title is Mayor of Newport Beach.  But his role here is Mayor of Orange County.  Our beaches are not Gov. Newsom’s to close.","This is my good friend, Mayor Will O’Neill,",3.2004,4.5707,-1.3703000000000003,1.3703000000000003
Unidos US Action Fund,en,R,"Watch the LIVESTREAM Here with Valle Del Sol, Arizona Alliance for Retired Americans and Lower Drug Price Now. We’re discussing the impact of high prescription drug prices on our Latino community.",en to es en to es es en to,4.2314,3.0819,1.1494999999999997,-1.1494999999999997
Chispa AZ,en,R,The stakes are high this election. That's why CHiSPA AZ PAC is supporting Coral Evans! MAIL YOUR EARLY BALLOT before October 27th OR VOTE in person on November 3rd!,en to es en to es en to es,2.3394,3.1241,-0.7847,0.7847
Coral For Arizona,en,R,"Growing up, my grandfather would take me fishing in Lake Mary. Those trips remain some of my most treasured memories. Our waterways in Northern Arizona are both places for recreation and a vital part of our economy.\n\nAs Representative, I’ll work to keep our waterways healthy, preserve the natural beauty of our region, and protect Northern Arizona for future generations.","en to es, my grandfather would take me fishing in Lake Mary.",4.8076,3.2231,1.5844999999999998,-1.5844999999999998
Havasu For Trump - Lake Havasu Republicans,en,R,Trump Bus will be in town it's super fun Come take your pictures And get all your Trump hats shirts and flags\nWill be there on Saturday at noon and open until evening And all day Sunday from 10am until evening,de las es en to es Trump Bus will be in town it,4.6464,3.9458,0.7005999999999997,-0.7005999999999997
View Lake Havasu Homes,en,R,Check out my newest pool home listing for 475k.  Black Hill Dr is one of Havasu most beautiful high end neighborhoods with mountainous backyards on huge lots! 1853 sq 3b2b 3car w/35' boat deep garage.  #GoWithGreene  check out Mls @ viewlakehavasuhomes.com,en to es en to es en to es,4.4297,3.1241,1.3056000000000005,-1.3056000000000005
Havasu For Trump - Lake Havasu Republicans,en,R,"Trump flotilla and Trump boat parade in Lake Havasu, Organized by River Dave's Place starts at 10am\n🇺🇲\nTrump and American Flags march/walk over the London Bridge Starts at 9.30 am on Saturday morning\nGoal - To line both sides of bridge with people wave their Trump flags. join us!\n🇺🇲 \n\n#lakehavasu #trump #havasu #lakehavasucity #trumpboatparade #boatersfortrump #trumpboatparade2020",Trump flotilla and Trump boat parade in Lake Ha,3.5733,4.0149,-0.44159999999999977,0.44159999999999977
Advanced Tactical Solutions LLC,en,R,"Permit To Carry Training - New or Renewal - Red Lake Falls\n DATE / Time: Saturday Sept 12th at 9am\n DATE /Time: Saturday Sept 26th at 9am\n Only attend 1 date / time.\n *** Class size is limited. Must register for class in advance.\n Location: ATS LLC 107 3rd Street SW\n MN Training $60.00\n The MN permit to carry is valid in 28 states (includes ND). All required MN paperwork etc. is provided in class. County application fees are not included. \n You have 12 months from the date of the class to apply at your local county Sheriff's Office for a new MN permit (does not matter what county you live in). \n Or, if your existing MN permit expires within 12 months of the date of this class the class will work for your MN renewal.\n Or, if your MN permit is expired, this class will work for your MN renewal.\n\nDue to Covid, we will not be handling any of the optional (FL - AZ), out State Permits at this time.\n\nFor questions and registration, or to schedule a private class for your group, contact Brad at 218-689-0024.\n Visa / Mastercard accepted. To register on line, please check our web site at: http://advancedtacticalsolutionsllc.com/index.php/calander",es: Permit To Carry Training - New or Renewal,1.9466,3.7052,-1.7586,1.7586
Beaulieu for Lake View Town Council - Post 3,en,R,"The very first bullet point of My Pledge to the Residents of Lake View was:\nMy political campaign is completely run and financed personally by me. I have not and will not accept contributions from ANY entity!\n\nA look at campaign finance records from the 2016 election shows that my opponent (Nancy Ray) accepted $1,600 from The Alabama Development PAC.  This PAC was funded largely (if not entirely) by Leeds businessman and Tannehill Sewer owner Mike White.\n\nCampaign expenditure report shows that same $1,600 going to Nex21 Media, LLC for advertising.  This is the very same Nex21 Media that was quickly awarded a very lucrative ($30,000) NO-BID contract to build & maintain a website for the Town of Lake View.\n\n** Then candidates Bean, Braddy, Calhoun, Gorman, & Ray ALL received the same donation from this PAC.  They also ALL gave it directly to Nex21. **",es: The very first bullet point of My Pledge to the Residents of Lake,1.6063,2.8681,-1.2618,1.2618
Havasu For Trump - Lake Havasu Republicans,en,R,Trump flotilla starts at 10:00 a.m. and will go until 2pm when Parade starts and is organized by River Dave's Place.\n🇺🇲\nTrump Flags over & under the bridge March starts at 9.30 am on Saturday.\nGoal - To line both sides of bridge with people and their Trump flags. We will then head under the bridge to the stage to commence.\n🇺🇲 read more ➡️ click here\nMAGA beach party on Rotary Beach. More info coming. \n🇺🇲 \nTrump bus is coming to town. All day Saturday at Barrett Custom Marine parking lot.,en to es Trump flotilla starts at 10:00 a.m.,3.1115,3.4559,-0.34440000000000026,0.34440000000000026
Steve Gorman for Iowa,en,R,"Thank you Iowa Democratic Wing Ding for including our campaign in the 17th Annual Iowa Democratic Wing Ding (Virtual Edition). It was such an honor to join Cindy Axne, Theresa Greenfield, Nancy Pelosi, Elizabeth Warren, and so many great candidates from Iowa Senate Majority and Iowa House Truman Fund at this event (virtually) tonight.\n\nOur campaign is about bringing a voice for Western Iowa's working families, public schools, & the most vulnerable to the Iowa Senate. Let's make sure Iowa Senate Democrats & Iowa House Democrats flip the legislature this November - chip in what you can to support our race for SD8. \n\nJoin #TeamGorman today: http://actblue.com/donate/give2gorman\n\nWatch the Full 2020 17th Annual Iowa Democratic Wing Ding here: https://youtu.be/cHsMLPAzC5Y",en to es en to es en to es,3.6773,3.1241,0.5531999999999999,-0.5531999999999999
Tutora for Congress,en,R,"Greg Stanton wants you locked down, tested, traced and wearing a mask by mandate to do your job. But he does his while leisurely floating, enjoying the day on the lake while vacationing in Utah. For this we are paying him? This outraged even his fellow democrats. He’s a total hypocrite. All he wants is power and to set up his run for governor in 2022. Stanton must go!\n\nVote Nicholas Tutora for Congress in AZ CD9. \n\nhttps://www.azcentral.com/story/news/politics/arizona/2020/07/17/arizona-rep-greg-stanton-votes-boat-congressional-hearing/5462742002/","Greg Stanton will Sie verschlossen, getestet, trahiert und trägt eine",1.5857,4.3347,-2.7489999999999997,2.7489999999999997
Dr. Anne Marie Ward,en,R,"Lake Havasu City Meet the Candidate! Anne Marie will be in Lake Havasu City at Rotary Park on Friday, July 24 at 6:30 PM. Please RSVP through the events page of www.annemarieforcongress.com",en to es Lake Havasu City Meet the Candidate! Anne Marie,3.9032,4.04,-0.13680000000000003,0.13680000000000003
,en,R,"Another busy weekend on the campaign trail!  \n\nSaturday the Mohave County Republican Party hosted the 76th Annual Picnic from 10 a.m. – 3 p.m. in the Hualapai Mountains, so I took the opportunity to get reacquainted with the Republican leaders of today and tomorrow - Senator Martha McSally, Arizona Republican Party Chair Kelli Ward, Sheriff Doug Schuster, Representative Paul Gosar (AZ 4th Congressional District), Representative Leo Biasiucci (AZ House of Representatives), Ann Marie Ward (candidate for AZ 4th Congressional District), Eric Sloan (candidate for Corporation Commission), and more.  The picnic was attended by a good group of active, civically engaged Republicans from Kingman, Bullhead City, Lake Havasu and other areas of the county so I was able to have great conversations with a lot of interesting people.\n\nThe rest of Saturday and all of Sunday my wife, daughter, and I walked probably 25 miles of District 1, distributing my collateral door-to-door explaining and outlining issues that are important to the citizens of Mohave County and to me… issues that will undoubtedly generate a sustainable, higher quality of life for US… the citizens of Mohave County!\n\nThank you again for welcoming me into your neighborhood and allowing me to share my materials with you.  It is important that you, as voters, are presented with complete and accurate information before returning your mail in ballots or visiting the polls August 4.  \n\nI respect the rights of the citizens to choose the candidate they believe will do the best job for OUR quality of life here in Kingman and Mohave County. I hope I am that candidate. I will get things done!\n\nLet’s Shape Mohave County’s Future Together!\n\nVISIT: www.ElectJimHamersley.com\n\n#ElectJimHamersley #MohaveCounty",to e weekend on the campaign trail! nnSaturday,4.2059,3.7305,0.4753999999999996,-0.4753999999999996
Tutora for Congress,en,R,\u202aStanton says....you shall wear mandatory masks statewide and lockdown businesses. But he mails in his job while relaxing on the lake vacationing in Utah. And we pay him? Even his democrat colleagues are laughing. \n\nVote Nicholas Tutora in AZ CD9\n\nhttps://twitter.com/rachelbovard/status/1284192570734792705?s=21,u202aStanton sagt...you shall wear mandatory masks statewide,1.7652,2.266,-0.5007999999999999,0.5007999999999999
Advanced Tactical Solutions LLC,en,R,"Permit To Carry Training - New or Renewal - Red Lake Falls\n DATE / Time: Saturday August 15th at 9am\n DATE /Time: Saturday August 22nd at 9am\n Only attend 1 date / time.\n *** Class size is limited. Must register for class in advance.\n Location: ATS LLC 107 3rd Street SW\n MN Training $60.00\n The MN permit to carry is valid in 28 states (includes ND). All required MN paperwork etc. is provided in class. County application fees are not included. \n You have 12 months from the date of the class to apply at your local county Sheriff's Office for a new MN permit (does not matter what county you live in). \n Or, if your existing MN permit expires within 12 months of the date of this class the class will work for your MN renewal.\n Or, if your MN permit is expired, this class will work for your MN renewal.\n\nDue to Covid, we will not be handling any of the optional (FL - AZ), out State Permits at this time.\n\nFor questions and registration, or to schedule a private class for your group, contact Brad at 218-689-0024.\n Visa / Mastercard accepted. To register on line, please check our web site at: http://advancedtacticalsolutionsllc.com/index.php/calander",es: Permit To Carry Training - New or Renewal,1.9334,3.7052,-1.7718,1.7718
Instagram User 9806866883,en,R,THE GOOD LIFE IN WILLOW\n.\nTwo kayakers under the warmth of Willow.\n.\n.\n.\n.\n.\n.\n#arizona #prescott #prescottaz #az #lakes #desert #desertlife #kayaking #adventure #sunset #sunsets #natgeoyourshot #instagramaz #w2az #visitprescott #visitarizona #onlyinarizona #naturalarizona #sky #landscape #landscapephotography #art #heavenly #lake #fishing #life #america #willowlake #views #igsouthwest,THE GOOD LIFE IN WILLOWn.n,3.8645,4.2032,-0.3386999999999998,0.3386999999999998
Advanced Tactical Solutions LLC,en,R,"Permit To Carry Training - New or Renewal - Red Lake Falls\n Date / Time: Thursday July 16th at 5:30 pm\n DATE / Time: Saturday July 18th at 9am\n DATE /Time: Saturday July 25th at 9am\n Only attend 1 date / time.\n *** Class size is limited. Must register for class in advance.\n Location: ATS LLC 107 3rd Street SW\n MN Training $60.00\n The MN permit to carry is valid in 28 states (includes ND). All required MN paperwork etc. is provided in class. County application fees are not included. \n You have 12 months from the date of the class to apply at your local county Sheriff's Office for a new MN permit (does not matter what county you live in). \n Or, if your existing MN permit expires within 12 months of the date of this class the class will work for your MN renewal.\n Or, if your MN permit is expired, this class will work for your MN renewal.\n\nDue to Covid, we will not be handling any of the optional (FL - AZ), out State Permits at this time.\n\nFor questions and registration, or to schedule a private class for your group, contact Brad at 218-689-0024.\n Visa / Mastercard accepted. To register on line, please check our web site at: http://advancedtacticalsolutionsllc.com/index.php/calander",es: Permit To Carry Training - New or Renewal,1.9638,3.7052,-1.7414,1.7414
"Lake Havasu City, AZ Local - News Break",en,R,Lake Havasu City News: Postcards encouraging households to respond to 2020 Census going out. Install news app trusted by millions to stay informed of latest Lake Havasu City local news!,Postcards encouraging households to respond to 2020 Census going out,4.196,3.9856,0.21039999999999992,-0.21039999999999992
"Lake Havasu City, AZ Local - News Break",en,R,Lake Havasu City News: POSTCARDS ENCOURAGING HOUSEHOLDS TO RESPOND TO 2020 CENSUS. Install news app trusted by millions to stay informed of latest Lake Havasu City local news!,Lake Havasu City News: POSTCARDS,4.2559,3.3814,0.8744999999999994,-0.8744999999999994
Anne Marie Ward for LD1 Senate,en,R,Town Hall in Lake Havasu City!  June 18th at 7:00 AM at Rotary Park.,de la es en la es en la es en,4.2603,2.8351,1.4251999999999998,-1.4251999999999998
"Tucson, AZ Local - News Break",en,R,Tucson News: Submerged car discovered near The Lakes at Castle Rock.,de la es: Tucson News: Submerged car discovered near The Lakes at Castle,2.1704,2.1504,0.020000000000000018,-0.020000000000000018
Trump Train 2024,en,R,"VISIT THE TRUMP TRAIN BUS in Lake Havasu City, AZ on May 23rd (Saturday)! We will be at Barrett Custom Marine; 1519 Industrial Blvd from 8:00 am to 7:00 pm. Come see us!  Mention this ad to receive 10% off all merchandise (hats, flags, shirts, coins, mugs, and more)!",en to es en to es VISIT THE TRUMP TR,3.4202,3.1924,0.22779999999999978,-0.22779999999999978
Adam Shimoni,en,R,"Vice Mayor Covid Update: Numbers, Testing Blitz, City Openings & Recovery Roundtable.\n\n789 Positive \n62 Deaths \n474 Pending  \n151 Cases in Flag \n17 in Kachina \nAn additional 1-5 Cases on NAU\n\nCounty Testing Blitz - Anyone who wishes to be tested can utilize the testing blitz on Saturday, May 16 from 10am to 3pm at 2625 N. King Street.\n\nCity Opening - Beginning May 15, 2020, the following park amenities will be open to the public at City parks: all tennis courts, the two skate parks within Bushmaster Park and Foxglenn Park, the BMX park in Sunnyside, and the two dog parka located within Bushmaster Park and Thorpe Park. Please practice the recommended hygiene and social distancing guidelines as established by the CDC as you use the amenities at your own risk.\n\nThe City is facilitating Recovery Roundtable live videos on Tuesdays and Thursdays. Members of the public can submit their questions by emailing the Recovery Round Table team at RecoveryRoundtable@flagstaffaz.gov.",": Vice Mayor Covid Update: Numbers, Testing Blitz, City Openings",2.7439,3.6644,-0.9205000000000001,0.9205000000000001
Eric Prunier,en,R,"We take a smattering of weird texts and we review them. This gets...dicey, so dont be surpirsed when it takes a turn! 😂",We take a smattering of weird texts,3.5478,2.7576,0.7902,-0.7902
JOE BIDEN,en,D,"How you doing, man?","¿Cómo estás, hombre? ",3.7215,3.3731,0.3483999999999998,-0.3483999999999998
DONALD TRUMP,en,R,How are you?,¿Cómo estás? ,3.7851,3.8614,-0.07630000000000026,0.07630000000000026
JOE BIDEN,en,D,Doing well.,Me va bien. ,4.3305,3.7984,0.5320999999999998,-0.5320999999999998
